,Goya Year,Movie Director
0,1.ª edición - 1987  17 de marzo de 1987,Fernando Fernán Gómez  (no se otorgó)
1,2.ª edición - 1988  22 de marzo de 1988,José Luis Garci  (no se otorgó)
2,3.ª edición - 1989  22 de marzo de 1989,Gonzalo Suárez  (no se otorgó)
3,4.ª edición - 1990  10 de marzo de 1990,Fernando Trueba (1)  Ana Díez
4,5.ª edición - 1991  16 de febrero de 1991,Carlos Saura  Rosa Vergés
5,6.ª edición - 1992  7 de marzo de 1992,Vicente Aranda  Juanma Bajo Ulloa
6,7.ª edición - 1993  14 de marzo de 1993,Fernando Trueba (2)  Julio Medem
7,8.ª edición - 1994  21 de enero de 1994,Luis García Berlanga  Mariano Barroso
8,9.ª edición - 1995  20 de enero de 1995,Imanol Uribe  La Cuadrilla (S. Aguilar y L. Guridi)
9,10.ª edición - 1996  27 de enero de 1996,Álex de la Iglesia  Agustín Díaz Yanes
10,11.ª edición - 1997  25 de enero de 1997,Pilar Miró  Alejandro Amenábar (1)
11,12.ª edición - 1998  31 de enero de 1998,Ricardo Franco  Fernando León de Aranoa (1)
12,13.ª edición - 1999  24 de enero de 1999,Fernando León de Aranoa (2)  Santiago Segura
13,14.ª edición - 2000  29 de enero de 2000,Pedro Almodóvar (1)  Benito Zambrano
14,15.ª edición - 2001  3 de febrero de 2001,José Luis Borau  Achero Mañas
15,16.ª edición - 2002  2 de febrero de 2002,Alejandro Amenábar (2)  Juan Carlos Fresnadillo
16,17.ª edición - 2003  1 de febrero de 2003,Fernando León de Aranoa (3)  Roger Gual y Julio Wallovits
17,18.ª edición - 2004  31 de enero de 2004,Icíar Bollaín  Ángeles González-Sinde
18,19.ª edición - 2005  30 de enero de 2005,Alejandro Amenábar (3)  Pablo Malo
19,20.ª edición - 2006  29 de enero de 2006,Isabel Coixet (1)  José Corbacho y Juan Cruz
20,21.ª edición - 2007  28 de enero de 2007,Pedro Almodóvar (2)  Daniel Sánchez Arévalo
21,22.ª edición - 2008  3 de febrero de 2008,Jaime Rosales  Juan Antonio Bayona (1)
22,23.ª edición - 2009  1 de febrero de 2009,Javier Fesser  Santiago Zannou
23,24.ª edición - 201014 de febrero de 2010,Daniel MonzónMar Coll
24,25.ª edición - 2011  13 de febrero de 2011,Agustí Villaronga  David Pinillos
25,26.ª edición - 2012  19 de febrero de 2012,Enrique Urbizu  Kike Maíllo
26,27.ª edición - 2013  17 de febrero de 2013,Juan Antonio Bayona (2)  Enrique Gato
27,28.ª edición - 2014  9 de febrero de 2014,David Trueba  Fernando Franco
28,29.ª edición - 2015  7 de febrero de 2015,Alberto Rodríguez  Carlos Marqués-Marcet
29,30.ª edición - 2016  6 de febrero de 2016,Cesc Gay  Daniel Guzmán
30,31.ª edición - 2017  4 de febrero de 2017,Juan Antonio Bayona (3)  Raúl Arévalo
31,32.ª edición - 2018  3 de febrero de 2018,Isabel Coixet (2)  Carla Simón
32,33.ª edición - 2019  2 de febrero de 2019,Rodrigo Sorogoyen Arantxa Echevarría
33,34.ª edición - 2020  25 de enero de 2020,Pedro Almodóvar (3) Belén Funes
34,35.ª edición - 2021  6 de marzo de 2021,Salvador Calvo Pilar Palomero
35,36.ª edición - 2022  12 de febrero de 2022,Fernando León de Aranoa (4) Clara Roquet
36,37.ª edición - 2023  11 de febrero de 2023,Rodrigo Sorogoyen (2) Alauda Ruiz de Azúa
37,38.ª edición - 2024  10 de febrero de 2024,Juan Antonio Bayona (3)  Estibaliz Urresola
38,39.ª edición - 2025  8 de febrero de 2025,
